level,llm,source,target,accuracy,f1_macro,trainable_params,use_reprogramming,two_stage,use_recon_aux
L3-Full,Qwen-1.5B,uci,hhar,0.7552750391596793,0.687111415583053,12068369,True,True,True
L3-Full,Qwen-1.5B,shoaib,uci,0.7974001268230818,0.7145332195568138,12068369,True,True,True
L3-Full,Qwen-1.5B,shoaib,shoaib,0.9290657439446367,0.915427106221461,12068369,True,True,True
L3-Full,Qwen-1.5B,shoaib,motionsense,0.8900608015882864,0.8283101237169724,12068369,True,True,True
L3-Full,Qwen-1.5B,shoaib,hhar,0.6702294296507878,0.5775053515183206,12068369,True,True,True
L3-Full,Qwen-1.5B,motionsense,uci,0.8478123018389346,0.7887044483889769,12068369,True,True,True
L3-Full,Qwen-1.5B,motionsense,shoaib,0.937046004842615,0.9248637491765559,12068369,True,True,True
L3-Full,Qwen-1.5B,motionsense,motionsense,0.9553072625698324,0.9126603218251454,12068369,True,True,True
L3-Full,Qwen-1.5B,motionsense,hhar,0.740117939740164,0.6723038234206502,12068369,True,True,True
L3-Full,Qwen-1.5B,hhar,uci,0.9083703233988586,0.8707848747189451,12068369,True,True,True
L3-Full,Qwen-1.5B,hhar,shoaib,0.6779661016949152,0.5972417103899162,12068369,True,True,True
L3-Full,Qwen-1.5B,hhar,motionsense,0.7972453157960044,0.6871816356749479,12068369,True,True,True
L3-Full,Qwen-1.5B,hhar,hhar,0.9357290946786455,0.916998827569184,12068369,True,True,True
